Subject ID,Subject,Subject type,Interaction type,Object ID,Object,Object type,Disease
5663,PSEN1,gene/protein,affects_activity of,836,CASP3,gene/protein,Alzheimer disease
351,Amyloid beta peptide,gene/protein,increases_activity of,GO:0006979,response to oxidative stress,process,Alzheimer disease
GO:0006979,response to oxidative stress,process,increases_quantity of,351,Amyloid beta peptide,gene/protein,Alzheimer disease
,Oxidizing agent,drug/chemical compound,increases_quantity of,351,Amyloid beta peptide,gene/protein,Alzheimer disease
351,Amyloid beta peptide,gene/protein,increases_quantity of,MP:0003329,amyloid beta deposits,phenotype,Alzheimer disease
GO:0006979,response to oxidative stress,process,increases_quantity of,,Oxidizing agent,drug/chemical compound,Alzheimer disease
,Oxidizing agent,drug/chemical compound,increases_expression of,23621,BACE1,gene/protein,Alzheimer disease
GO:0034440,lipid oxidation,process,increases_expression of,23621,BACE1,gene/protein,Alzheimer disease
GO:0034440,lipid oxidation,process,increases_quantity of,,"4-Hydroxy-2,3-nonenal",drug/chemical compound,Alzheimer disease
104300,Alzheimer disease,disease,cooccurs with,,increased levels of lipid peroxidation,phenotype,Alzheimer disease
MP:0002229,neurodegeneration,phenotype,cooccurs with,,increased levels of lipid peroxidation,phenotype,Alzheimer disease
GO:0007568,aging,process,affects_activity of,GO:0018158,protein oxidation,process,Alzheimer disease
GO:0007568,aging,process,decreases_activity of,GO:0006979,response to oxidative stress,process,Alzheimer disease
GO:0007568,aging,process,increases_activity of,GO:0006979,response to oxidative stress,process,Alzheimer disease
MP:0001559,hyperglycemia,phenotype,increases_activity of,GO:0006979,response to oxidative stress,process,Alzheimer disease
MP:0005039,hypoxia,phenotype,increases_activity of,GO:0006979,response to oxidative stress,process,Alzheimer disease
351,Amyloid beta peptide (phenoxy radical Tyr-10),gene/protein,increases_quantity of,,Dityrosine,drug/chemical compound,Alzheimer disease
,Dityrosine,drug/chemical compound,increases_quantity of,MP:0003329,amyloid beta deposits,phenotype,Alzheimer disease
,Reactive oxygen species,drug/chemical compound,increases_quantity of,351,Amyloid beta peptide (phenoxy radical Tyr-10),gene/protein,Alzheimer disease
MP:0003329,amyloid beta deposits,phenotype,affects_activity of,GO:0051592,response to calcium ion,process,Alzheimer disease
GO:0006979,response to oxidative stress,process,increases_activity of,466,Gamma-secretase complex,complex/PPI,Alzheimer disease
GO:0006979,response to oxidative stress,process,increases_expression of,23621,BACE1,gene/protein,Alzheimer disease
466,Gamma-secretase complex,complex/PPI,affects_activity of,23621,BACE1,gene/protein,Alzheimer disease
GO:0007568,aging,process,increases_activity of,MP:0006036,abnormal mitochondrial physiology,phenotype,Alzheimer disease
MP:0002229,neurodegeneration,phenotype,increases_activity of,MP:0006036,abnormal mitochondrial physiology,phenotype,Alzheimer disease
MP:0006036,abnormal mitochondrial physiology,phenotype,increases_activity of,MP:0002954,abnormal aerobic energy metabolism,phenotype,Alzheimer disease
MP:0005039,hypoxia,phenotype,increases_expression of,23621,BACE1,gene/protein,Alzheimer disease
MP:0005039,hypoxia,phenotype,increases_activity of,23621,BACE1,gene/protein,Alzheimer disease
MP:0005039,hypoxia,phenotype,increases_quantity of,MP:0003329,amyloid beta deposits,phenotype,Alzheimer disease
MP:0005039,hypoxia,phenotype,affects_activity of,GO:0007611,learning or memory,process,Alzheimer disease
3091,HIF1A,gene/protein,affects_activity of,,promoter binding (BACE1),process,Alzheimer disease
3091,HIF1A,gene/protein,increases_expression of,23621,BACE1,gene/protein,Alzheimer disease
2932,GSK3B,gene/protein,decreases_activity of,1499,CTNNB1,gene/protein,Alzheimer disease
MP:0005039,hypoxia,phenotype,increases_activity of,466,Gamma-secretase complex,complex/PPI,Alzheimer disease
3091,HIF1A,gene/protein,interacts (colocalizes) with,51107,APH1A (promoter),gene/protein,Alzheimer disease
3091,HIF1A,gene/protein,increases_expression of,51107,APH1A,gene/protein,Alzheimer disease
MP:0005039,hypoxia,phenotype,increases_quantity of,,Reactive oxygen species,drug/chemical compound,Alzheimer disease
104300,Alzheimer disease,disease,cooccurs with,MP:0008811,abnormal brain iron level,phenotype,Alzheimer disease
104300,Alzheimer disease,disease,cooccurs with,MP:0009618,increased brain zinc level,phenotype,Alzheimer disease
351,APP,gene/protein,affects_activity of,GO:0004322,ferroxidase activity,process,Alzheimer disease
GO:0008270,zinc ion binding,process,decreases_activity of,GO:0004322,ferroxidase activity,process,Alzheimer disease
GO:0008270,zinc ion binding,process,decreases_activity of,351,APP,gene/protein,Alzheimer disease
351,APP,gene/protein,affects_activity of,GO:0016722,"oxidoreductase activity, oxidizing metal ions",process,Alzheimer disease
351,APP,gene/protein,affects_activity of,GO:0005506,iron ion binding,process,Alzheimer disease
C14819,Fe3+,drug/chemical compound,interacts (colocalizes) with,7018,TF,gene/protein,Alzheimer disease
351,APP,gene/protein,interacts (colocalizes) with,30061,SLC40A1,gene/protein,Alzheimer disease
C00038,Zn2+,drug/chemical compound,decreases_activity of,GO:0004322,ferroxidase activity,process,Alzheimer disease
C00038,Zn2+,drug/chemical compound,decreases_activity of,351,APP,gene/protein,Alzheimer disease
C14818,Fe2+,drug/chemical compound,increases_activity of,GO:0006979,response to oxidative stress,process,Alzheimer disease
351,APP,gene/protein,affects_quantity of,C14819,Fe3+,drug/chemical compound,Alzheimer disease
,Metallothionein,gene/protein,decreases_quantity of,C00038,Zn2+,drug/chemical compound,Alzheimer disease
351,APP,gene/protein,decreases_activity of,GO:0006979,response to oxidative stress,process,Alzheimer disease
104300,Alzheimer disease,disease,decreases_activity of,GO:0004322,ferroxidase activity,process,Alzheimer disease
104300,Alzheimer disease,disease,decreases_activity of,351,APP,gene/protein,Alzheimer disease
GO:0004322,ferroxidase activity,process,affects_quantity of,C00023,Iron,drug/chemical compound,Alzheimer disease
C00023,Iron,drug/chemical compound,interacts (colocalizes) with,MP:0003329,amyloid beta deposits,phenotype,Alzheimer disease
3553,IL1B (active form),gene/protein,affects_expression of,351,APP,gene/protein,Alzheimer disease
C00038,Zn2+,drug/chemical compound,interacts (colocalizes) with,MP:0003329,amyloid beta deposits,phenotype,Alzheimer disease
C00070,Cu2+,drug/chemical compound,interacts (colocalizes) with,MP:0003329,amyloid beta deposits,phenotype,Alzheimer disease
GO:0030350,iron-responsive element binding,process,affects_activity of,48,ACO1,gene/protein,Alzheimer disease
C00023,Iron,drug/chemical compound,affects_activity of,MP:0002229,neurodegeneration,phenotype,Alzheimer disease
C00032,Heme,drug/chemical compound,interacts (colocalizes) with,351,Amyloid beta peptide,gene/protein,Alzheimer disease
GO:0042168,heme metabolic process,process,affects_activity of,104300,Alzheimer disease,disease,Alzheimer disease
C00023,Iron,drug/chemical compound,is localized in,C00032,Heme,drug/chemical compound,Alzheimer disease
C00023,Iron,drug/chemical compound,increases_activity of,MP:0000604,amyloidosis,phenotype,Alzheimer disease
C00070,Cu2+,drug/chemical compound,increases_activity of,MP:0000604,amyloidosis,phenotype,Alzheimer disease
C00087,Sulfur,drug/chemical compound,interacts (colocalizes) with,MP:0003329,amyloid beta deposits,phenotype,Alzheimer disease
C00023,Iron,drug/chemical compound,interacts (colocalizes) with,MP:0003214,neurofibrillary tangles,phenotype,Alzheimer disease
104300,Alzheimer disease,disease,decreases_quantity of,4504,MT3,gene/protein,Alzheimer disease
4504,MT3,gene/protein,interacts (colocalizes) with,C00070,Cu2+,drug/chemical compound,Alzheimer disease
4504,MT3,gene/protein,interacts (colocalizes) with,C00038,Zn2+,drug/chemical compound,Alzheimer disease
4504,MT3,gene/protein,affects_activity of,GO:0006979,response to oxidative stress,process,Alzheimer disease
351,APP,gene/protein,affects_activity of,GO:0050817,coagulation,process,Alzheimer disease
351,APP,gene/protein,interacts (colocalizes) with,,Factor IXa,gene/protein,Alzheimer disease
GO:0070555,response to interleukin-1,process,increases_expression of,351,APP,gene/protein,Alzheimer disease
351,APP,gene/protein,increases_activity of,GO:0043526,neuroprotection,process,Alzheimer disease
GO:0043526,neuroprotection,process,decreases_activity of,MP:0002229,neurodegeneration,phenotype,Alzheimer disease
GO:0070555,response to interleukin-1,process,increases_activity of,,Alpha-secretase,gene/protein,Alzheimer disease
,Cytokine,gene/protein,increases_activity of,GO:0048143,astrocyte activation,process,Alzheimer disease
GO:0048143,astrocyte activation,process,increases_quantity of,351,APP,gene/protein,Alzheimer disease
GO:0006954,inflammatory response,process,increases_activity of,,Cytokine,gene/protein,Alzheimer disease
GO:0030350,iron-responsive element binding,process,affects_activity of,GO:0055072,iron ion homeostasis,process,Alzheimer disease
GO:0030350,iron-responsive element binding,process,affects_activity of,3658,IREB2,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,increases_quantity of,,elevated free serum copper,phenotype,Alzheimer disease
104300,Alzheimer disease,disease,increases_activity of,MP:0006350,increased circulating copper level,phenotype,Alzheimer disease
C00070,Cu2+,drug/chemical compound,interacts (colocalizes) with,1356,CP,gene/protein,Alzheimer disease
,increased apoceruloplasmin level,phenotype,cooccurs with,104300,Alzheimer disease,disease,Alzheimer disease
5468,PPARG-p.P12A,gene/protein mutant,increases_activity of,104300,Alzheimer disease,disease,Alzheimer disease
5468,PPARG-p.P12A,gene/protein mutant,affects_quantity of,177,AGER (soluble splice variant),mRNA/protein variant,Alzheimer disease
C01494,Ferulate,drug/chemical compound,increases_activity of,GO:0043526,neuroprotection,process,Alzheimer disease
C01494,Ferulate,drug/chemical compound,decreases_expression of,3383,ICAM1,gene/protein,Alzheimer disease
C01494,Ferulate,drug/chemical compound,increases_activity of,GO:0006979,response to oxidative stress,process,Alzheimer disease
C01494,Ferulate,drug/chemical compound,decreases_activity of,GO:0006915,apoptotic process,process,Alzheimer disease
351,"Amyloid beta peptide (monomer, soluble)",gene/protein,interacts (colocalizes) with,351,Amyloid beta peptide,gene/protein,Alzheimer disease
351,Amyloid beta peptide (protofibrillar),gene/protein,increases_activity of,GO:0070997,neuron death,phenotype,Alzheimer disease
351,Amyloid beta peptide (protofibrillar),gene/protein,affects_activity of,GO:0051899,membrane depolarization,process,Alzheimer disease
351,Amyloid beta peptide (protofibrillar),gene/protein,increases_activity of,GO:0045760,positive regulation of action potential,process,Alzheimer disease
351,Amyloid beta peptide (42),gene/protein,interacts (colocalizes) with,C00038,Zn2+,drug/chemical compound,Alzheimer disease
23621,BACE1,gene/protein,affects_quantity of,351,Amyloid beta peptide,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,increases_expression of,23621,BACE1,gene/protein,Alzheimer disease
5663,PSEN1,gene/protein,increases_expression of,23621,BACE1,gene/protein,Alzheimer disease
5663,PSEN1,gene/protein,affects_activity of,466,Gamma-secretase complex,complex/PPI,Alzheimer disease
23621,BACE1,gene/protein,affects_activity of,104300,Alzheimer disease,disease,Alzheimer disease
466,Gamma-secretase complex,complex/PPI,increases_expression of,23621,BACE1,gene/protein,Alzheimer disease
466,Gamma-secretase complex,complex/PPI,affects_expression of,23621,BACE1,gene/protein,Alzheimer disease
C06429,Docosahexaenoic acid,drug/chemical compound,decreases_quantity of,C00639,Prostaglandin F2alpha,drug/chemical compound,Alzheimer disease
C06428,Eicosapentaenoic acid,drug/chemical compound,decreases_quantity of,C00639,Prostaglandin F2alpha,drug/chemical compound,Alzheimer disease
351,Amyloid beta peptide (42),gene/protein,interacts (colocalizes) with,C00070,Cu2+,drug/chemical compound,Alzheimer disease
351,Amyloid beta peptide (42),gene/protein,interacts (colocalizes) with,C14819,Fe3+,drug/chemical compound,Alzheimer disease
104300,Alzheimer disease,disease,increases_quantity of,351,"Amyloid beta peptide (monomer, soluble)",gene/protein,Alzheimer disease
351,Amyloid beta peptide (42),gene/protein,increases_activity of,GO:0046872,metal ion binding,process,Alzheimer disease
351,Amyloid beta peptide (42),gene/protein,increases_activity of,GO:0005507,copper ion binding,process,Alzheimer disease
351,Amyloid beta peptide (42),gene/protein,increases_activity of,GO:0008270,zinc ion binding,process,Alzheimer disease
351,Amyloid beta peptide (42),gene/protein,increases_activity of,GO:0005506,iron ion binding,process,Alzheimer disease
351,APP,gene/protein,affects_activity of,104300,Alzheimer disease,disease,Alzheimer disease
351,APP,gene/protein,interacts (colocalizes) with,27242,TNFRSF21,gene/protein,Alzheimer disease
6056,APP-TNFRSF21,complex/PPI,increases_activity of,GO:0070997,neuron death,process,Alzheimer disease
27242,TNFRSF21,gene/protein,affects_activity of,104300,Alzheimer disease,disease,Alzheimer disease
6056,APP-TNFRSF21,complex/PPI,affects_activity of,104300,Alzheimer disease,disease,Alzheimer disease
6056,APP-TNFRSF21,complex/PPI,increases_activity of,GO:0051402,neuron apoptotic process,process,Alzheimer disease
839,CASP6,gene/protein,affects_activity of,MP:0002229,neurodegeneration,phenotype,Alzheimer disease
581,BAX,gene/protein,affects_activity of,MP:0002229,neurodegeneration,phenotype,Alzheimer disease
GO:0006954,inflammatory response,process,affects_quantity of,57817,HAMP,gene/protein,Alzheimer disease
C00023,Iron,drug/chemical compound,affects_quantity of,57817,HAMP,gene/protein,Alzheimer disease
MP:0005039,hypoxia,phenotype,affects_quantity of,57817,HAMP,gene/protein,Alzheimer disease
57817,HAMP,gene/protein,affects_activity of,GO:0055072,iron ion homeostasis,process,Alzheimer disease
57817,HAMP,gene/protein,is localized in,BTO:0000142,brain,tissue/cell line,Alzheimer disease
GO:0007568,aging,process,increases_quantity of,57817,HAMP,gene/protein,Alzheimer disease
57817,HAMP,gene/protein,decreases_expression of,30061,SLC40A1,gene/protein,Alzheimer disease
MP:0001770,abnormal iron level,phenotype,cooccurs with,104300,Alzheimer disease,disease,Alzheimer disease
MP:0001770,abnormal iron level,phenotype,affects_activity of,GO:0055072,iron ion homeostasis,process,Alzheimer disease
GO:0006954,inflammatory response,process,affects_activity of,GO:0055072,iron ion homeostasis,process,Alzheimer disease
255022,CALHM1,gene/protein,is localized in,GO:0016021,integral component of membrane,cellular component,Alzheimer disease
255022,CALHM1,gene/protein,affects_quantity of,C00076,Ca2+,drug/chemical compound,Alzheimer disease
255022,CALHM1,gene/protein,affects_quantity of,351,Amyloid beta peptide,gene/protein,Alzheimer disease
rs2986017,CALHM1 rs2986017,SNP,increases_activity of,104300,Alzheimer disease,disease,Alzheimer disease
rs2986017,CALHM1 rs2986017,SNP,increases_quantity of,351,Amyloid beta peptide,gene/protein,Alzheimer disease
255022,CALHM1,gene/protein,interacts (colocalizes) with,255022,CALHM1,gene/protein,Alzheimer disease
255022,CALHM1,gene/protein,affects_processing of,351,APP,gene/protein,Alzheimer disease
,SAMP8 mouse,organism model,increases_quantity of,351,APP,gene/protein,Alzheimer disease
MI0000070,mir-16,ncRNA/miRNA,affects_expression of,351,APP,gene/protein,Alzheimer disease
MI0000070,mir-16,ncRNA/miRNA,decreases_expression of,351,APP,gene/protein,Alzheimer disease
351,Amyloid beta peptide,gene/protein,increases_activity of,GO:0006950,response to stress,process,Alzheimer disease
GO:0070997,neuron death,process,increases_activity of,GO:0006950,response to stress,process,Alzheimer disease
GO:0006950,response to stress,process,increases_activity of,GO:0001774,microglial cell activation,process,Alzheimer disease
GO:0001774,microglial cell activation,process,increases_activity of,,Reactive oxygen species,drug/chemical compound,Alzheimer disease
,NADPH oxidase complex,complex/PPI,increases_quantity of,,Reactive oxygen species,drug/chemical compound,Alzheimer disease
104300,Alzheimer disease,disease,increases_activity of,,NADPH oxidase complex,complex/PPI,Alzheimer disease
,NADPH oxidase complex,complex/PPI,increases_activity of,GO:0070997,neuron death,phenotype,Alzheimer disease
,Tg2576 mouse,organism model,increases_quantity of,351,Amyloid beta peptide,gene/protein,Alzheimer disease
351,Amyloid beta peptide,gene/protein,interacts (colocalizes) with,3028,HSD17B10,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,affects_quantity of,23621,BACE1,gene/protein,Alzheimer disease
,Reactive oxygen species,drug/chemical compound,increases_expression of,23621,BACE1,gene/protein,Alzheimer disease
,Reactive oxygen species,drug/chemical compound,increases_expression of,5663,PSEN1,gene/protein,Alzheimer disease
466,Gamma-secretase complex,complex/PPI,increases_activity of,23621,BACE1,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,increases_quantity of,351,APP,gene/protein,Alzheimer disease
351,APP,gene/protein,increases_activity of,GO:0006979,response to oxidative stress,process,Alzheimer disease
,Tg2576 mouse,organism model,increases_quantity of,C00027,H2O2,drug/chemical compound,Alzheimer disease
,Tg2576 mouse,organism model,decreases_activity of,,Mitochondrial respiratory chain complex IV,complex/PPI,Alzheimer disease
351,Amyloid beta peptide (40),gene/protein,is localized in,GO:0005759,mitochondrial matrix,cellular component,Alzheimer disease
351,Amyloid beta peptide (42),gene/protein,is localized in,GO:0005759,mitochondrial matrix,cellular component,Alzheimer disease
351,Amyloid beta peptide (40),gene/protein,is localized in,GO:0005743,mitochondrial inner membrane,cellular component,Alzheimer disease
351,Amyloid beta peptide (42),gene/protein,is localized in,GO:0005743,mitochondrial inner membrane,cellular component,Alzheimer disease
104300,Alzheimer disease,disease,increases_quantity of,C00027,H2O2,drug/chemical compound,Alzheimer disease
C00027,H2O2,drug/chemical compound,increases_activity of,GO:0006979,response to oxidative stress,process,Alzheimer disease
GO:0007568,aging,process,increases_quantity of,MP:0003329,amyloid beta deposits,phenotype,Alzheimer disease
,Tg2576 mouse,organism model,increases_activity of,104300,Alzheimer disease,disease,Alzheimer disease
,Tg2576 mouse,organism model,increases_quantity of,MP:0003329,amyloid beta deposits,phenotype,Alzheimer disease
351,APP-mut,gene/protein mutant,decreases_activity of,,Mitochondrial respiratory chain complex IV,complex/PPI,Alzheimer disease
351,APP-mut,gene/protein mutant,increases_activity of,GO:0006979,response to oxidative stress,process,Alzheimer disease
1454,CSNK1E,gene/protein,increases_quantity of,351,Amyloid beta peptide (42),gene/protein,Alzheimer disease
,IC261,drug/chemical compound,decreases_quantity of,351,Amyloid beta peptide (42),gene/protein,Alzheimer disease
,Abeta plaque-forming APP23 mouse,organism model,increases_quantity of,MP:0003329,amyloid beta deposits,phenotype,Alzheimer disease
MP:0006036,abnormal mitochondrial physiology,phenotype,cooccurs with,104300,Alzheimer disease,disease,Alzheimer disease
GO:0006979,response to oxidative stress,process,increases_activity of,MP:0004811,abnormal neuron physiology,phenotype,Alzheimer disease
MP:0004811,abnormal neuron physiology,phenotype,increases_quantity of,GO:0000262,mitochondrial chromosome,cellular component,Alzheimer disease
MP:0004811,abnormal neuron physiology,phenotype,affects_activity of,,Mitochondrial respiratory chain complex IV,complex/PPI,Alzheimer disease
104300,Alzheimer disease,disease,decreases_activity of,,Mitochondrial respiratory chain complex IV,complex/PPI,Alzheimer disease
104300,Alzheimer disease,disease,decreases_quantity of,C00002,ATP,drug/chemical compound,Alzheimer disease
GO:0005739,mitochondrion,cellular component,decreases_quantity of,C00002,ATP,drug/chemical compound,Alzheimer disease
104300,Alzheimer disease,disease,decreases_activity of,GO:0005739,mitochondrion,cellular component,Alzheimer disease
GO:0005739,mitochondrion,cellular component,increases_quantity of,,Reactive oxygen species,drug/chemical compound,Alzheimer disease
,APP transgenic mouse,organism model,decreases_quantity of,C00002,ATP,drug/chemical compound,Alzheimer disease
,APP transgenic mouse,organism model,affects_activity of,GO:0010917,negative regulation of mitochondrial membrane potential,process,Alzheimer disease
,APP transgenic mouse,organism model,affects_quantity of,MP:0003329,amyloid beta deposits,phenotype,Alzheimer disease
351,Amyloid beta peptide,gene/protein,decreases_activity of,,Mitochondrial respiratory chain,complex/PPI,Alzheimer disease
351,Amyloid beta peptide,gene/protein,affects_activity of,,Mitochondrial permeability transition pore complex,complex/PPI,Alzheimer disease
,Mitochondrial permeability transition pore complex,complex/PPI,affects_activity of,,Mitochondrial respiratory chain,complex/PPI,Alzheimer disease
6058,ABAD-Abeta interaction,complex/PPI,affects_activity of,GO:0006979,response to oxidative stress,process,Alzheimer disease
6058,ABAD-Abeta interaction,complex/PPI,affects_activity of,MP:0006036,abnormal mitochondrial physiology,phenotype,Alzheimer disease
6058,ABAD-Abeta interaction,complex/PPI,affects_activity of,,Mitochondrial respiratory chain,complex/PPI,Alzheimer disease
3028,HSD17B10,gene/protein,interacts (colocalizes) with,GO:0005739,mitochondrion,cellular component,Alzheimer disease
351,Amyloid beta peptide,gene/protein,interacts (colocalizes) with,GO:0005739,mitochondrion,cellular component,Alzheimer disease
,"TOM complex, mitochondrial",complex/PPI,affects transport of,351,Amyloid beta peptide (42),gene/protein,Alzheimer disease
,"TOM complex, mitochondrial",complex/PPI,affects transport of,351,Amyloid beta peptide (40),gene/protein,Alzheimer disease
351,Amyloid beta peptide (42),gene/protein,is localized in,GO:0030061,mitochondrial crista,cellular component,Alzheimer disease
351,Amyloid beta peptide (40),gene/protein,is localized in,GO:0030061,mitochondrial crista,cellular component,Alzheimer disease
C06684,Valinomycin,drug/chemical compound,affects_activity of,,"TOM complex, mitochondrial",complex/PPI,Alzheimer disease
GO:0051881,regulation of mitochondrial membrane potential,process,affects_activity of,,"TOM complex, mitochondrial",complex/PPI,Alzheimer disease
104300,Alzheimer disease,disease,decreases_quantity of,23604,DAPK2,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,decreases_quantity of,4976,OPA1,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,decreases_quantity of,55669,MFN1,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,decreases_quantity of,9927,MFN2,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,increases_quantity of,51024,FIS1,gene/protein,Alzheimer disease
466,Gamma-secretase complex,complex/PPI,is localized in,GO:0005739,mitochondrion,cellular component,Alzheimer disease
,"Gamma-secretase inhibitor L-685,458",drug/chemical compound,decreases_activity of,466,Gamma-secretase complex,complex/PPI,Alzheimer disease
,Gamma-secretase inhibitor Compound E,drug/chemical compound,decreases_activity of,466,Gamma-secretase complex,complex/PPI,Alzheimer disease
23385,NCSTN,gene/protein,is_part_of,466,Gamma-secretase complex,complex/PPI,Alzheimer disease
51107,APH1A,gene/protein,is_part_of,466,Gamma-secretase complex,complex/PPI,Alzheimer disease
55851,PSENEN,gene/protein,is_part_of,466,Gamma-secretase complex,complex/PPI,Alzheimer disease
5663,PSEN1,gene/protein,is_part_of,466,Gamma-secretase complex,complex/PPI,Alzheimer disease
5664,PSEN2,gene/protein,is_part_of,468,Gamma-secretase complex,complex/PPI,Alzheimer disease
23385,NCSTN,gene/protein,is localized in,GO:0005739,mitochondrion,cellular component,Alzheimer disease
51107,APH1A,gene/protein,is localized in,GO:0005739,mitochondrion,cellular component,Alzheimer disease
55851,PSENEN,gene/protein,is localized in,GO:0005739,mitochondrion,cellular component,Alzheimer disease
5663,PSEN1,gene/protein,is localized in,GO:0005739,mitochondrion,cellular component,Alzheimer disease
5664,PSEN2,gene/protein,is localized in,GO:0005739,mitochondrion,cellular component,Alzheimer disease
4137,MAPT,gene/protein,affects_activity of,351,Amyloid beta peptide,gene/protein,Alzheimer disease
4137,MAPT,gene/protein,interacts (colocalizes) with,GO:0005874,microtubule,cellular component,Alzheimer disease
4137,MAPT,gene/protein,affects_activity of,GO:0015630,microtubule cytoskeleton,cellular component,Alzheimer disease
4137,MAPT,gene/protein,interacts (colocalizes) with,2534,FYN,gene/protein,Alzheimer disease
4137,MAPT,gene/protein,interacts (colocalizes) with,1742,DLG4,gene/protein,Alzheimer disease
4137,MAPT,gene/protein,interacts (colocalizes) with,GO:0030424,axon,cellular component,Alzheimer disease
,NMDA receptor complex,complex/PPI,interacts (colocalizes) with,1742,DLG4,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,affects transport of,4137,MAPT,gene/protein,Alzheimer disease
4137,MAPT,gene/protein,interacts (colocalizes) with,BTO:0000938,neuron,tissue/cell line,Alzheimer disease
2534,FYN,gene/protein,affects_phosphorylation of,,NMDA receptor complex,complex/PPI,Alzheimer disease
4137,MAPT,gene/protein,affects_activity of,GO:0006605,protein targeting,process,Alzheimer disease
351,APP,gene/protein,is localized in,GO:0005739,mitochondrion,cellular component,Alzheimer disease
351,APP,gene/protein,interacts (colocalizes) with,10452,TOMM40,gene/protein,Alzheimer disease
351,APP,gene/protein,interacts (colocalizes) with,100287932,TIMM23,gene/protein,Alzheimer disease
,increased APP level,phenotype,cooccurs with,,decreased importation of respiratory chain subunit level,phenotype,Alzheimer disease
351,Amyloid beta peptide,gene/protein,affects_activity of,GO:0005739,mitochondrion,cellular component,Alzheimer disease
351,APP,gene/protein,increases_quantity of,C00023,Iron,drug/chemical compound,Alzheimer disease
351,Amyloid beta peptide,gene/protein,affects_quantity of,,Reactive oxygen species,drug/chemical compound,Alzheimer disease
3416,IDE,gene/protein,affects_quantity of,351,Amyloid beta peptide,gene/protein,Alzheimer disease
3416,IDE,gene/protein,is localized in,GO:0005739,mitochondrion,cellular component,Alzheimer disease
5550,PREP,gene/protein,is localized in,GO:0005759,mitochondrial matrix,cellular component,Alzheimer disease
5550,PREP,gene/protein,decreases_quantity of,351,Amyloid beta peptide,gene/protein,Alzheimer disease
351,APP,gene/protein,affects_quantity of,351,Amyloid beta peptide,gene/protein,Alzheimer disease
,Tg2576 mouse,organism model,increases_expression of,351,APP,gene/protein,Alzheimer disease
,Tg2576 mouse,organism model,increases_expression of,7276,TTR,gene/protein,Alzheimer disease
,Tg2576 mouse,organism model,increases_expression of,3481,IGF2,gene/protein,Alzheimer disease
,Tg2576 mouse,organism model,increases_phosphorylation of,572,BAD,gene/protein,Alzheimer disease
,Tg2576 mouse,organism model,increases_expression of,9365,KL,gene/protein,Alzheimer disease
GO:0007568,aging,process,affects_quantity of,9365,KL,gene/protein,Alzheimer disease
7276,TTR,gene/protein,decreases_quantity of,MP:0003329,amyloid beta deposits,phenotype,Alzheimer disease
7276,TTR,gene/protein,decreases_folding of,351,Amyloid beta peptide,gene/protein,Alzheimer disease
,Tg2576 mouse,organism model,decreases_expression of,2353,FOS,gene/protein,Alzheimer disease
,Tg2576 mouse,organism model,decreases_expression of,4216,MAP3K4,gene/protein,Alzheimer disease
4216,MAP3K4,gene/protein,affects_activity of,GO:0006915,apoptotic process,process,Alzheimer disease
2353,FOS,gene/protein,affects_activity of,GO:0006915,apoptotic process,process,Alzheimer disease
104300,Alzheimer disease,disease,increases_expression of,2353,FOS,gene/protein,Alzheimer disease
104300,Alzheimer disease,disease,increases_expression of,3725,JUN,gene/protein,Alzheimer disease
4216,MAP3K4,gene/protein,increases_activity of,GO:0007254,JNK cascade,process,Alzheimer disease
,Tg2576 mouse,organism model,decreases_expression of,5495,PPM1B,gene/protein,Alzheimer disease
5495,PPM1B,gene/protein,affects_activity of,GO:0006915,apoptotic process,process,Alzheimer disease
,Tg2576 mouse,organism model,increases_expression of,1634,DCN,gene/protein,Alzheimer disease
,Tg2576 mouse,organism model,increases_expression of,5168,ENPP2,gene/protein,Alzheimer disease
,Tg2576 mouse,organism model,increases_expression of,3485,IGFBP2,gene/protein,Alzheimer disease
,Tg2576 mouse,organism model,increases_expression of,2690,GHR,gene/protein,Alzheimer disease
,Tg2576 mouse,organism model,increases_expression of,5618,PRLR,gene/protein,Alzheimer disease
3481,IGF2,gene/protein,decreases_activity of,351,Amyloid beta peptide,gene/protein,Alzheimer disease
,Tg2576 mouse,organism model,increases_expression of,3479,IGF1,gene/protein,Alzheimer disease
207,AKT1,gene/protein,is localized in,GO:0005634,nucleus,cellular component,Alzheimer disease
207,AKT1,gene/protein,affects_phosphorylation of,2932,GSK3B,gene/protein,Alzheimer disease
207,AKT1,gene/protein,decreases_activity of,2932,GSK3B,gene/protein,Alzheimer disease
207,AKT1,gene/protein,increases_activity of,5595,MAPK3,gene/protein,Alzheimer disease
207,AKT1,gene/protein,increases_activity of,5594,MAPK1,gene/protein,Alzheimer disease
3133,"Phosphatidylinositol 3-kinase (PIK3CA, PIK3R1)",complex/PPI,affects_activity of,207,AKT1,gene/protein,Alzheimer disease
